#Second case with k = 0.4 and B = 20.0
#u              v              
-0.701921       -5.302678      
-0.754947       -5.346874      
-0.808416       -5.391783      
-0.862334       -5.437247      
-0.916706       -5.483095      
-0.971537       -5.529142      
-1.026829       -5.575190      
-1.082581       -5.621026      
-1.138791       -5.666423      
-1.195455       -5.711140      
-1.252567       -5.754919      
-1.310116       -5.797488      
-1.368091       -5.838558      
-1.426476       -5.877826      
-1.485254       -5.914972      
-1.544404       -5.949661      
-1.603901       -5.981542      
-1.663716       -6.010249      
-1.723819       -6.035403      
-1.784173       -6.056609      
-1.844739       -6.073463      
-1.905473       -6.085546      
-1.966329       -6.092432      
-2.027253       -6.093685      
-2.088190       -6.088864      
-2.149079       -6.077523      
-2.209854       -6.059215      
-2.270446       -6.033497      
-2.330781       -5.999926      
-2.390780       -5.958073      
-2.450361       -5.907517      
-2.509436       -5.847854      
-2.567915       -5.778702      
-2.625702       -5.699701      
-2.682699       -5.610524      
-2.738804       -5.510877      
-2.793913       -5.400504      
-2.847918       -5.279195      
-2.900710       -5.146788      
-2.952178       -5.003177      
-3.002209       -4.848311      
-3.050693       -4.682204      
-3.097515       -4.504936      
-3.142564       -4.316654      
-3.185730       -4.117581      
-3.226906       -3.908010      
-3.265986       -3.688314      
-3.302870       -3.458937      
-3.337459       -3.220402      
-3.369663       -2.973303      
-3.399396       -2.718309      
-3.426579       -2.456153      
-3.451141       -2.187636      
-3.473017       -1.913615      
-3.492153       -1.635000      
-3.508503       -1.352746      
-3.522031       -1.067849      
-3.532709       -0.781331      
-3.540522       -0.494237      
-3.545465       -0.207625      
-3.547541       0.077447       
-3.546766       0.359924       
-3.543167       0.638769       
-3.536780       0.912969       
-3.527650       1.181542       
-3.515834       1.443548       
-3.501399       1.698097       
-3.484418       1.944350       
-3.464974       2.181531       
-3.443159       2.408927       
-3.419070       2.625895       
-3.392811       2.831863       
-3.364492       3.026333       
-3.334229       3.208882       
-3.302140       3.379160       
-3.268349       3.536893       
-3.232980       3.681878       
-3.196161       3.813980       
-3.158021       3.933136       
-3.118690       4.039341       
-3.078296       4.132654       
-3.036970       4.213188       
-2.994838       4.281106       
-2.952027       4.336618       
-2.908661       4.379977       
-2.864861       4.411471       
-2.820746       4.431420       
-2.776432       4.440173       
-2.732030       4.438100       
-2.687649       4.425593       
-2.643393       4.403054       
-2.599363       4.370899       
-2.555654       4.329552       
-2.512358       4.279439       
-2.469564       4.220989       
-2.427354       4.154629       
-2.385808       4.080782       
-2.345000       3.999867       
-2.305001       3.912295       
-2.265878       3.818468       
-2.227694       3.718777       
-2.190506       3.613604       
-2.154370       3.503320       
-2.119337       3.388280       
-2.085454       3.268830       
-2.052765       3.145302       
-2.021312       3.018015       
-1.991132       2.887275       
-1.962260       2.753374       
-1.934726       2.616594       
-1.908560       2.477204       
-1.883788       2.335460       
-1.860433       2.191609       
-1.838517       2.045884       
-1.818058       1.898512       
-1.799073       1.749707       
-1.781576       1.599675       
-1.765579       1.448614       
-1.751093       1.296714       
-1.738126       1.144159       
-1.726684       0.991124       
-1.716773       0.837780       
-1.708395       0.684292       
-1.701552       0.530822       
-1.696244       0.377527       
-1.692469       0.224561       
-1.690223       0.072074       
-1.689503       -0.079784      
-1.690300       -0.230867      
-1.692609       -0.381026      
-1.696419       -0.530116      
-1.701721       -0.677990      
-1.708500       -0.824502      
-1.716745       -0.969501      
-1.726441       -1.112839      
-1.737569       -1.254362      
-1.750113       -1.393915      
-1.764052       -1.531339      
-1.779365       -1.666471      
-1.796030       -1.799147      
-1.814021       -1.929194      
-1.833313       -2.056438      
-1.853878       -2.180698      
-1.875685       -2.301789      
-1.898702       -2.419518      
-1.922898       -2.533689      
-1.948234       -2.644099      
-1.974675       -2.750540      
-2.002181       -2.852797      
-2.030709       -2.950651      
-2.060215       -3.043876      
-2.090654       -3.132241      
-2.121977       -3.215511      
-2.154132       -3.293448      
-2.187066       -3.365806      
-2.220724       -3.432342      
-2.255048       -3.492805      
-2.289976       -3.546948      
-2.325445       -3.594521      
-2.361390       -3.635277      
-2.397743       -3.668971      
-2.434433       -3.695362      
-2.471386       -3.714217      
-2.508529       -3.725308      
-2.545782       -3.728420      
-2.583066       -3.723348      
-2.620299       -3.709901      
-2.657398       -3.687905      
-2.694277       -3.657205      
-2.730849       -3.617666      
-2.767026       -3.569178      
-2.802718       -3.511656      
-2.837834       -3.445042      
-2.872285       -3.369312      
-2.905978       -3.284470      
-2.938823       -3.190558      
-2.970728       -3.087653      
-3.001605       -2.975871      
-3.031364       -2.855368      
-3.059917       -2.726337      
-3.087181       -2.589017      
-3.113071       -2.443684      
-3.137508       -2.290660      
-3.160414       -2.130303      
-3.181717       -1.963015      
-3.201347       -1.789236      
-3.219240       -1.609441      
-3.235334       -1.424141      
-3.249576       -1.233881      
-3.261914       -1.039231      
-3.272307       -0.840789      
-3.280715       -0.639175      
-3.287106       -0.435027      
-3.291457       -0.228994      
-3.293746       -0.021737      
-3.293964       0.186081       
-3.292103       0.393797       
-3.288165       0.600751       
-3.282158       0.806297       
-3.274095       1.009799       
-3.263997       1.210642       
-3.251890       1.408234       
-3.237808       1.602008       
-3.221788       1.791429       
-3.203873       1.975993       
-3.184114       2.155234       
-3.162561       2.328723       
-3.139274       2.496072       
-3.114313       2.656933       
-3.087744       2.811002       
-3.059634       2.958016       
-3.030054       3.097756       
-2.999076       3.230047       
-2.966776       3.354753       
-2.933228       3.471781       
-2.898510       3.581077       
-2.862700       3.682624       
-2.825873       3.776443       
-2.788109       3.862587       
-2.749483       3.941141       
-2.710072       4.012220       
-2.669949       4.075967       
-2.629190       4.132546       
-2.587864       4.182146       
-2.546043       4.224974       
-2.503793       4.261255       
-2.461181       4.291226       
-2.418268       4.315140       
-2.375117       4.333258       
-2.331784       4.345847       
-2.288326       4.353183       
-2.244794       4.355544       
-2.201239       4.353212       
-2.157706       4.346468       
-2.114242       4.335594       
-2.070886       4.320868       
-2.027677       4.302565       
-1.984652       4.280958       
-1.941842       4.256314       
-1.899279       4.228891       
-1.856990       4.198944       
-1.815000       4.166721       
-1.773333       4.132459       
-1.732009       4.096389       
-1.691045       4.058736       
-1.650457       4.019712       
-1.610260       3.979524       
-1.570465       3.938368       
-1.531081       3.896434       
-1.492117       3.853901       
-1.453578       3.810940       
-1.415469       3.767714       
-1.377791       3.724378       
-1.340548       3.681079       
-1.303737       3.637954       
-1.267357       3.595136       
-1.231406       3.552747       
-1.195879       3.510906       
-1.160769       3.469721       
-1.126072       3.429295       
-1.091779       3.389725       
-1.057882       3.351103       
-1.024371       3.313513       
-0.991236       3.277035       
-0.958466       3.241742       
-0.926048       3.207705       
-0.893971       3.174986       
-0.862221       3.143647       
-0.830785       3.113744       
-0.799647       3.085326       
-0.768794       3.058443       
-0.738210       3.033138       
-0.707878       3.009452       
-0.677784       2.987423       
-0.647909       2.967084       
-0.618239       2.948467       
-0.588754       2.931600       
-0.559438       2.916510       
-0.530273       2.903221       
-0.501241       2.891752       
-0.472323       2.882124       
-0.443502       2.874353       
-0.414758       2.868454       
-0.386074       2.864439       
-0.357429       2.862320       
-0.328806       2.862106       
-0.300185       2.863805       
-0.271547       2.867421       
-0.242873       2.872960       
-0.214143       2.880423       
-0.185339       2.889812       
-0.156441       2.901127       
-0.127430       2.914364       
-0.098286       2.929520       
-0.068991       2.946590       
-0.039525       2.965567       
-0.009869       2.986442       
0.019995        3.009204       
0.050087        3.033843       
0.080426        3.060343       
0.111029        3.088689       
0.141916        3.118863       
0.173105        3.150845       
0.204613        3.184612       
0.236459        3.220142       
0.268660        3.257405       
0.301235        3.296373       
0.334198        3.337013       
0.367568        3.379290       
0.401361        3.423164       
0.435593        3.468594       
0.470279        3.515534       
0.505434        3.563933       
